id,InfrastID,WBS,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,C33,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,Resurfacing projects in Council District 2.,Medium,"$1,425,000 ",,,,,,"NE, NW",NE,NW,,,0.5,"$712,500 ",,,2,,,,,,,,,,,,1,"$1,425,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,C48,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,Resurfacing projects in Council District 2.,Medium,"$1,425,000 ",,,,,,"NE, NW",NE,NW,,,0.5,"$712,500 ",,,2,,,,,,,,,,,,1,"$1,425,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,C78,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,Resurfacing projects in Council District 2.,Medium,"$1,425,000 ",,,,,,"NE, NW",NE,NW,,,0.5,"$712,500 ",,,2,,,,,,,,,,,,1,"$1,425,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,C84,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,Resurfacing projects in Council District 5.,high,"$1,450,000 ",,,,,,"NE, SE",NE,,SE,,0.5,"$725,000 ",,,,,,5,,,,,,,,,1,"$1,450,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,A20,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,Resurfacing projects in Council District 5.,High,"$1,450,000 ",,,,,,"NE, SE",NE,,SE,,0.5,"$725,000 ",,,,,,5,,,,,,,,,1,"$1,450,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,A17,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,Resurfacing projects in Council District 5.,Medium,"$1,450,000 ",,,,,,"NE, SE",NE,,SE,,0.5,"$725,000 ",,,,,,5,,,,,,,,,1,"$1,450,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,R2,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,Resurfacing projects in Council District 5.,Medium,"$1,450,000 ",,,,,,"NE, SE",NE,,SE,,0.5,"$725,000 ",,,,,,5,,,,,,,,,1,"$1,450,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,C83,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,Resurfacing projects in Council District 5.,Medium,"$1,450,000 ",,,,,,"NE, SE",NE,,SE,,0.5,"$725,000 ",,,,,,5,,,,,,,,,1,"$1,450,000 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,Resurfacing projects in Council District 6.,Medium,"$1,487,500 ",,,,,,NE,NE,,,,1,"$1,487,500 ",,,,,,,6,,,,,,,,1,"$1,487,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,Resurfacing projects in Council District 6.,Medium,"$1,487,500 ",,,,,,NE,NE,,,,1,"$1,487,500 ",,,,,,,6,,,,,,,,1,"$1,487,500 ",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
