id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
60,60,,,,,2181-E,Transportation,Traffic,Traffic Signals,Chattahoochee Avenue @ Ellsworth Industrial Boulevard,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1221 Chattahoochee Ave NW, Atlanta, GA 30318",1221 Chattahoochee Ave NW,,33.8010523,-84.4273196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,,,,2182-E,Transportation,Traffic,Traffic Signals,Chattahoochee Avenue @ Hills Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1460 Chattahoochee Ave NW, Atlanta, GA 30318",1460 Chattahoochee Ave NW,,33.807443,-84.435717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,,,,2033-E,Transportation,Roadway,Roadway Resurfacing,Cheshire Bridge Road,Resurfacing from Buford Highway to Piedmont Avenue,High,"$436,923","1999 Cheshire Bridge Road, Atlanta, GA 30324",1999 Cheshire Bridge Road,,33.8107639,-84.3576618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,,,,2015-H,Transportation,Bridges,Bridge Replacement,Childress Drive,Replacement of bridge over South Utoy Creek between Key Drive & Cascade Road.,High,"$2,000,000","1504-1524 Childress Dr SW, Atlanta, GA 30311",1504-1524 Childress Dr SW,,33.7143022,-84.490471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,,,,2310-E,Municipal,Public Art,Public Art,City Court Gate,Inspection and painting restoration.,,,,,,33.74744,-84.3931534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,,,,2262-E,Municiple,Public Buildings,Public Buildings,City Hall,City Hall roof replacement to address life safety concerns and water intrusion.,High,,"68 Mitchell St SW, Atlanta, GA 30303",68 Mitchell St SW,,33.748942,-84.390404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,2297-E,Municiple,Public Building,Public Buildings,Clair Dr & North Ave,"ADA upgrades, roof repairs, HVAC controls, interior/exterior finishes, break room renovations, misc. repairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,2269-E,Municipal,Public Buildings,Public Buildings,City Hall,City Hall roof replacement and waterproofing to address water intrusion and life safety concerns,High,,"68 Mitchell St SW, Atlanta, GA 30303",68 Mitchell St SW,,33.748942,-84.390404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,,,,2015-H,Transportation,Bridges,Bridge General,Citywide Bridge Improvements,Bridge and structural improvements including construction of new structures and/or structural component modifications,High,"$7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,,,,2156-E,Transportation,Traffic,Traffic Communication Corridor,Claire Drive,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$266,400","23 Claire Dr SW, Atlanta, GA 30315",23 Claire Dr SW,,33.7054989,-84.3890107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,,,,2034-E,Transportation,Roadway,Roadway Resurfacing,Cleveland Avenue,Resurfacing from Metropolitan Parkway to Jonesboro Road,High,"$1,107,000","121 Cleveland Avenue Southeast, Atlanta, GA 30315",121 Cleveland Avenue Southeast,,33.680708,-84.384701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,,,,2157-E,Transportation,Traffic,Traffic Communication Corridor,Anchored Sail,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$745,900","47 Cleveland Ave SW, Atlanta, GA 30315",47 Cleveland Ave SW,,33.6815047,-84.3905554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,,,,2035-E,Transportation,Roadway,Roadway Resurfacing,College Avenue,Resurfacing from Howard Street to City Limits,High,"$255,300","2030 College Ave NE, Atlanta, GA 30317",2030 College Ave NE,,33.7617805,-84.3207642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,,,,2184-E,Transportation,Traffic,Traffic Signals,College Avenue @ Rockyford Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2055 College Ave NE, Atlanta, GA 30317",2055 College Ave NE,,33.7620849,-84.3198103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,,,,2238-E,Municiple,Facility,Parks and Recreation Centers,Collier Heights Recreation Center,"Kitchen and bathroom renovations, interior/exterior finishes.",High,,"3691 Collier Dr NW, Atlanta, GA 30331",3691 Collier Dr NW,,33.770005,-84.506586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,,,,2086-E,Transportation,Roadway,Roadway Resurfacing,Collier Road,Resurfacing from Howell Mill Road to Peachtree Road,High,"$356,179","534 Collier Rd NW, Atlanta, GA 30318",534 Collier Rd NW,,33.810605,-84.404836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,,,,2330-E,Municipal,Public Art,Public Art,Cometh the Sun,Corten steel restoration.,,,,,,53.6164356,-113.6207473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,,,,2185-E,Transportation,Traffic,Traffic Signals,Constitution Road @ Forrest Park Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","898 Constitution Rd SE, Atlanta, GA 30315",898 Constitution Rd SE,,33.6932409,-84.3601626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,,,,2112-E,Transportation,Traffic,School Zone Beacons,Continental Colony Elementary School,School flashers for elementary school at 3181 Hogan Road,High,"$9,270","3181 Hogan Road Southwest, Atlanta, GA 30331‎",3181 Hogan Road Southwest,,33.6786406,-84.4916809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,,,,2113-E,Transportation,Traffic,School Zone Beacons,Coretta Scott King Middle School,School flashers for middle school 1190 Northwest Drive,High,"$9,270","1190 Northwest Dr NW, Atlanta, GA 30318‎",1190 Northwest Dr NW,,33.7886398,-84.4793863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,,,,2015-H,Transportation,Bridges,Bridge Replacement,Courtland Street,"Replacement of 106+ year old bridge over Decatur Street & CSX Railroad between Martin L. King, Jr. Drive & Edgewood Avenue. The City of Atlanta is responsible for right of way acquisition and utility relocation. Construction  is being funded through GDOT",High,"$2,000,000","120 Courtland St SE, Atlanta, GA 30303","120 Courtland St SE, Atlanta",,33.7515188,-84.387147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,,,,2036-E,Transportation,Roadway,Roadway Resurfacing,Decatur Street,Resurfacing from Peachtree Street to Gunby Street,High,"$558,500","349 Decatur Street Southeast, Atlanta, GA 30312",349 Decatur Street Southeast,,33.7495441,-84.3786992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,,,,,2343-E,Municipal,Public Art,Public Art,Decode / Recode,"Structural repairs:  metal, paint, concrete",,,Decatur St. at Peachtree Center Ave. 30302,,,33.753141,-84.387645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,,,,,2037-E,Transportation,Roadway,Roadway Resurfacing,Defoors Ferry,Resurfacing from Hills Avenue to Hyde Manor,High,"$257,000","2194 Defoors Ferry Rd NW, Atlanta, GA 30318",2194 Defoors Ferry Rd NW,,33.817471,-84.4320785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,,,,,2015-H,Transportation,Complete Street,Complete Street,Dekalb Ave,"Complete Street improvements inclusive of milling and repaving, sidewalk and ADA ramp repair and installation, reversible lane removal and addition of bicycle facilities along DeKalb Av from MARTA Inman Park-Reynoldstown Station (Hurt St) to city limit.",High,"$2,511,300","1055 DeKalb Avenue NE, Atlanta, GA 30307",1055 DeKalb Avenue NE,,33.7577241,-84.3534238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,,,,,2158-E,Transportation,Traffic,Traffic Communication Corridor,Dekalb Ave/Decatur Street,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,176,600","349 Decatur St SE, Atlanta, GA 30312",349 Decatur St SE,,33.7495441,-84.3786992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,,,,,2038-E,Transportation,Roadway,Roadway Resurfacing,Dekalb Avenue,Resurfacing from City Limits to Gunby Street.,High,"$1,082,000","1380 DeKalb Ave NE, Atlanta, GA 30307",1380 DeKalb Ave NE,,33.7618553,-84.3423831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,,,,,2186-E,Transportation,Traffic,Traffic Signals,Dekalb Avenue,Replacement of reversible lane traffic signal system from Jackson Street to Oxford Place.,High,"$1,502,090","1830 DeKalb Ave NE, Atlanta, GA 30307",1830 DeKalb Ave NE,,33.760571,-84.32765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,,,,,2187-E,Transportation,Traffic,Traffic Signals,Dekalb Avenue @ Rockyford Road & DeKalb Place,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2054 DeKalb Ave NE, Atlanta, GA 30307",2054 DeKalb Ave NE,,33.762983,-84.3201834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,,,,,2351-E,Municipal,Public Art,Public Art,Dial's The Bridge,Granite and electrical repairs.,,,Ponce de Leon Ave. / Freedom Pkwy 30306,,,33.77374,-84.359401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,,,,,2039-E,Transportation,Roadway,Roadway Resurfacing,Dill Avenue,Resurfacing from Murphy Avenue to Metropolitan Parkway,High,"$359,000","902 Dill Avenue Southwest, Atlanta, GA 30310",902 Dill Avenue Southwest,,33.718035,-84.417685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,,,,,2264-E,Municipal,Public Buildings,Public Buildings,DPW Service Building - Fleet Services (Clair Drive),"ADA upgrades to restrooms; interior and exterior paint, minor roof repairs, interior finishes,  HVAC control replacements, break room renovations, miscellaneous and other repairs.",High,,"23 Claire Dr SE, Atlanta, GA 30315",23 Claire Dr SE,,33.7076265,-84.3892319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,,,,,2266-E,Municipal,Public Buildings,Public Buildings,DPW Shop/Garage/Office (Clair Drive),"ADA upgrades to restrooms; interior and exterior paint, minor roof repairs, interior finishes,  HVAC control replacements, break room renovations, miscellaneous and other repairs.",High,,"23 Claire Dr SE, Atlanta, GA 30315",23 Claire Dr SE,,33.7076265,-84.3892319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,,,,,2265-E,Municipal,Public Buildings,Public Buildings,DPW Shop/Garage/Office ( North Ave),"ADA upgrades to restrooms; interior and exterior paint, minor roof repairs, interior finishes,  HVAC control replacements, break room renovations, miscellaneous and other repairs.",High,,"1150 North Avenue NE, Atlanta, GA 30307",1150 North Avenue NE,,33.771247,-84.3497112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,,,,,2267-E,Municipal,Public Buildings,Public Buildings,DPW Warehouse/Office - Transportation  (Clair Drive),"ADA upgrades to restrooms; interior and exterior paint, minor roof repairs, interior finishes,  HVAC control replacements, break room renovations, miscellaneous and other repairs.",High,,"23 Claire Dr SE, Atlanta, GA 30315",23 Claire Dr SE,,33.7076265,-84.3892319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,,,,,2258-E,Municiple,Facility,Parks and Recreation Centers,Dunbar Neighborhood Center,"ADA upgrades, replace water damaged ceiling tiles, interior and exterior paint and kitchen upgrades.",High,,"477 Windsor St SW, Atlanta, GA 30312",477 Windsor St SW,,33.741438,-84.399785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,,,,,2230-E,Transportation,Roadway,Roadway Resurfacing,East Andrews Drive,Resurfacing from Roswell Road to West Paces Ferry Road,High,,"110 East Andrews Dr NW, Atlanta, GA 30305",110 East Andrews Dr NW,,33.8428674,-84.3828763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,,,,,2041-E,Transportation,Roadway,Roadway Resurfacing,East Cleveland Avenue,Resurfacing from Metropolitan Parkway to Springdale Road,High,"$301,600","2691 Springdale Rd SW, Atlanta, GA 30344",2691 Springdale Rd SW,,33.6815534,-84.4151641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,,,,,2042-E,Transportation,Roadway,Roadway Resurfacing,East Morningside Drive,Resurfacing from Piedmont Avenue to North Pelham Road,High,"$55,386","691 East Morningside Dr NE, Atlanta, GA 30324",691 East Morningside Dr NE,,33.799207,-84.36466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,,,,,2043-E,Transportation,Roadway,Roadway Resurfacing,East Roxboro Road,Resurfacing from Railroad Bridge to W. Roxboro Road,High,"$155,175","2060 East Roxboro Rd NE, Atlanta, GA 30324",2060 East Roxboro Rd NE,,33.8431926,-84.3463547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,,,,,2044-E,Transportation,Roadway,Roadway Resurfacing,Ellsworth Industrial Boulevard,Resurfacing from Huff Road to Dead End,High,"$352,000","1401 Ellsworth Industrial Boulevard Northwest, Atlanta, GA 30318",1401 Ellsworth Industrial Boulevard Northwest,,33.7930538,-84.4266734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,,,,,2317-E,Municipal,Public Art,Public Art,Emerging,Bronze restoration.,,,,,,33.687618,-83.8167093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,,,,,2045-E,Transportation,Roadway,Roadway Resurfacing,Empire Boulevard,Resurfacing from Oak Drive to Browns Mill Road,High,"$544,700","3333 Empire Boulevard Southwest, Atlanta, GA 30354",3333 Empire Boulevard Southwest,,33.6632889,-84.3924266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,,,,,2046-E,Transportation,Roadway,Roadway Resurfacing,Empire Way,Resurfacing from Empire Boulevard to end of road,High,"$21,200","3423 Empire Blvd SW, Atlanta, GA 30354",3423 Empire Blvd SW,,33.6609851,-84.3918432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,,,,,2244-E,Municiple,Facility,Parks and Recreation Centers,English Park Recreation Center,"ADA upgrades, parking lot repairs, interior/exterior finishes.",High,,"1340 Bolton Rd NW, Atlanta, GA 30331",1340 Bolton Rd NW,,33.791534,-84.49381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,105,,,,,2297-E,Municiple,Public Art,Public Art,Eskine Memorial,Bronze restoration.,,,,,,33.7377676,-84.3736542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,106,,,,,2304-E,Municipal,Public Art,Public Art,Evolution,Tile restortion.,,,,,,33.7724401,-84.3665306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,,,,,2311-E,Municipal,Public Art,Public Art,Ex-Static,The Last Meter,,,,,,33.7673475,-84.387473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,108,,,,,2114-E,Transportation,Traffic,School Zone Beacons,F. L. Stanton Elementary School,"School flashers for elementary school at 1625 Martin L. King, Jr. Drive",High,"$9,270","1625 Martin Luther King Junior Drive Southwest, Atlanta, GA ",1625 Martin Luther King Junior Drive Southwest,,33.75193,-84.4405251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,,,,,2225-E,Non-Transportation Major,Facility,Public Buildings,Facility Maintenance,Critical maintenance and upgrades to facilities across the city.,High,"$10,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,,,,,2047-E,Transportation,Roadway,Roadway Resurfacing,Fair Street,Resurfacing from Walker Street to Lawton Street,High,"$367,000","465 Fair St SW, Atlanta, GA 30313",465 Fair St SW,,33.7486199,-84.4024655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,,,,,2015-H,Transportation,Complete Street,Complete Street,Fairburn Rd,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and pedestrian improvements from ML King, Jr Drive to City Limits.",High,"$1,500,000","1680 Ralph David Abernathy SW, Atlanta, GA 30310",1680 Ralph David Abernathy SW,,33.745685,-84.443475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,112,,,,,2331-E,Municipal,Public Art,Public Art,Falling Waters,Tile restoration.,,,,,,47.668267,-122.3773206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,,,,,2115-E,Transportation,Traffic,School Zone Beacons,Fickett Elementary School,School flashers for elementary school at 3935 Rux Road,High,"$9,270","3935 Rux Road, Atlanta, GA 30331",3935 Rux Road,,33.6970576,-84.5172163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,114,,,,,2315-E,Municipal,Public Art,Public Art,Five  Points Monument,Bronze restoration.,,,,,,33.7543083,-84.3898012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,,,,,2116-E,Transportation,Traffic,School Zone Beacons,Forest Hills Academy,School flashers for elementary school at 3950 Forrest Hill Drive,High,"$9,270","2930 Forrest Hills Dr, Atlanta, GA 30315‎",2930 Forrest Hills Dr,,33.6751252,-84.3984157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,116,,,,,2048-E,Transportation,Roadway,Roadway Resurfacing,Forrest Park Road,Resurfacing from Constitution Road to I-285,High,"$195,300","2680 Forrest Park Rd SE, Atlanta, GA 30315",2680 Forrest Park Rd SE,,33.681209,-84.356424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,,,,,2015-H,Transportation,Complete Street,Complete Street,Forsyth St,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and pedestrian improvements from Peachtree Street to Memorial Drive.",High,"$811,100","76 Forsyth St SW, Atlanta, GA 30303",76 Forsyth St SW,,33.7524569,-84.393459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,118,,,,,2049-E,Transportation,Roadway,Roadway Resurfacing,Fort Street,Resurfacing from Irwin Street to Auburn Avenue,High,"$56,000","89 Fort St NE, Atlanta, GA 30312",89 Fort St NE,,33.756866,-84.377561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119,,,,,2250-E,Municiple,Facility,Parks and Recreation Centers,Freedom Park,"ADA upgrades, asphalt repairs, interior/ exterior paint, additional exterior lights.",High,,"601-633 Freedom Pkwy NE, Atlanta, GA 30306",601-633 Freedom Pkwy NE,,33.771144,-84.359372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,,,,,2341-E,Municipal,Public Art,Public Art,Free Nelson Mandela,Move and relocate Sculpture,,,Piedmont Park at 10th St. entrance,,,37.791916,-122.254544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,,,,,2326-E ,Municipal,Public Art,Public Art,Games,Metal restoration.,,,,,,42.6867393,-73.822842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,122,,,,,2117-E,Transportation,Traffic,School Zone Beacons,Garden Hills Elementary School,School flashers for elementary school at 285 Sheridan Drive,High,"$9,270","285 Sheridan Drive Northeast, Atlanta, GA 30305",285 Sheridan Drive Northeast,,33.8327532,-84.3804554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,,,,,2159-E,Transportation,Traffic,Traffic Communication Corridor,Glenwood Road,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$488,400","488 Flat Shoals Avenue Southeast, Atlanta, GA 30316",488 Flat Shoals Avenue Southeast,,33.74098,-84.3459247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,124,,,,,2246-E,Municiple,Facility,Parks and Recreation Centers,Goldsboro Park,"ADA Upgrades, repair basketball and tennis courts.",High,,"1368 Euclid Ave NE, Atlanta, GA 30307",1368 Euclid Ave NE,,33.770269,-84.34312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,125,,,,,2050-E,Transportation,Roadway,Roadway Resurfacing,Greenbriar Parkway,Resurfacing from Campbellton Road to Barge Road,High,"$837,700","2841 Greenbriar Parkway SW Atlanta, GA 30331",2841 Greenbriar Parkway SW,,33.6884343,-84.4932852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,126,,,,,2160-E,Transportation,Traffic,Traffic Communication Corridor,Greenbriar Parkway,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$293,000","2841 Greenbriar Parkway SW Atlanta, GA 30331",2841 Greenbriar Parkway SW,,33.6884343,-84.4932852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,127,,,,,2259-E,Municiple,Facility,Parks and Recreation Centers,Georgia Hill Neighborhood Center,"Exterior lights and interior cameras, and life safety items",High,,"250 Georgia Ave, Atlanta, GA 30312",250 Georgia Ave,,33.737371,-84.379029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,128,,,,,2188-E,Transportation,Traffic,Traffic Signals,Habersham Road@ West Wesley Road,"Replacement of traffic signal LED's, controller monitor signal wiring, communication, & timing at the intersection.",High,"$74,920","221 W Wesley Rd NW, Atlanta, GA 30305",221 W Wesley Rd NW,,33.8286711,-84.3949862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,,,,,2189-E,Transportation,Traffic,Traffic Signals,Hamilton E. Holmes Drive @ Burton Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","81 Hamilton E Holmes Dr NW, Atlanta, GA 30311",81 Hamilton E Holmes Dr NW,,33.755481,-84.4684065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,130,,,,,2051-E,Transportation,Roadway,Roadway Resurfacing,Hapeville Road,Resurfacing from Cleveland Avenue to Oak Drive,High,"$183,500","2981 Hapeville Rd SW, Atlanta, GA 30354",2981 Hapeville Rd SW,,33.6733916,-84.3937671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,,,,,2052-E,Transportation,Roadway,Roadway Resurfacing,Harbin Road,Resurfacing from Cascade Road to Campbellton Road,High,"$389,000","1656 Harbin Rd SW, Atlanta, GA 30311",1656 Harbin Rd SW,,33.7104423,-84.4825817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,132,,,,,2314-E,Municipal,Public Art,Public Art,Henry Grady,Bronze restoration.,,,,,,33.7471645,-84.3955637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,133,,,,,2118-E,Transportation,Traffic,School Zone Beacons,Henry W. Grady High School,School flashers for High school at 929 Charles Allen Drive,High,"$18,540","929 Charles Allen Drive Northeast, Atlanta, GA 30309‎",929 Charles Allen Drive Northeast,,33.780565,-84.372747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,134,,,,,2349-E,Municipal,Public Art,Public Art,Heratige Park Memorial,"Granite repairs, replacement of some granite, weatherproofing.",,,Crumley St. SE (Between Frazer St. / Reed St.) 30312,,,33.739451,-84.385537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,,,,,2119-E,Transportation,Traffic,School Zone Beacons,Heritage Academy,School flashers for school at 3500 Villa Circle SE,High,"$9,270","3500 Villa Circle Southeast, Atlanta, GA 30354",3500 Villa Circle Southeast,,33.6588629,-84.3781553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,,,,,2054-E,Transportation,Roadway,Roadway Resurfacing,Hightower Road,Resurfacing from Hollywood Road to James Jackson Parkway.,High,"$384,000","1111 Hightower Road Northwest, Atlanta, GA 30318",1111 Hightower Road Northwest,,33.7854531,-84.4725796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
